farm,altitude,inc,sev,model_score
1,1100,86.7080535556397,64.1,16.23719546073029
2,1342,51.343537414966,34.87,16.23719546073029
3,1434,43.2,19.1,18.453001336136328
4,1100,76.7080535556397,60.1,18.453001336136328
5,1400,47.1580832960143,25.98,18.453001336136328
6,1342,51.343537414966,38.78,15.119963880852547
7,1432,48.2670487056803,24.67,19.111030657733235
8,1100,86.7080535556397,64.1,26.74485045090806
9,1400,47.1580832960143,24.5,24.438014540217864
10,1342,51.14,22.234782608695653,12.152707154542265
11,1432,48.2670487056803,34.35,10.478893989005936
12,1100,75.96,60.18,14.068523727967072
13,1400,47.39,24.58,29.78061664038724
14,1342,51.343537414966,42.98,11.94756062188901
15,1432,48.2670487056803,20.985673350295784,13.265560343411359
19,1323,32.5,19.96,10.621780732175331
22,1023,48.42,26.4,20.814811659672152
23,1867,32.5,7.1,19.13284478901508
